"parameter","method","coverage","bias","MSE","power"
"CTE","group.time.ATT",0.952,-1.5245749673406e-05,4.22379223462351e-06,1
"CTE","group.time.ATT.ever.adopted",0.71,3.68676993300162e-07,2.07623873403224e-05,0.996
"CTE","staggered.SA",0.951,2.43582617213444e-06,5.44378497299235e-06,1
"CTE","target.trial",0.954,-1.52457496734048e-05,4.22379223462351e-06,1
"CTE","TWFE",0.954,1.0205326165395e-06,1.7069371607884e-07,1
"CTE","TWFE.ever.adopted",0.581,3.23515002934485e-05,1.12794146448189e-06,1
"DTE..1","group.time.ATT",0.999,7.80566329945764e-05,8.6881868185725e-06,0.001
"DTE..1","group.time.ATT.ever.adopted",0.959,0.00032370475324488,2.88887453994136e-05,0.017
"DTE..1","stacked.regression",1,0,0,0
"DTE..1","TWFE",0.983,-0.000170146732105317,3.82548671318749e-05,0.008
"DTE..1","TWFE.ever.adopted",0.971,6.3638821462775e-05,8.21685833748663e-05,0.012
"DTE..10","group.time.ATT",0.998,-6.56636772015934e-05,8.80227142810889e-06,0.001
"DTE..10","group.time.ATT.ever.adopted",0.965,-7.91947779415751e-05,2.98972958368813e-05,0.02
"DTE..10","stacked.regression",0.955,-1.53808302923674e-05,8.35931167481322e-06,0.029
"DTE..10","TWFE",0.981,-0.000236637167020853,3.98129300738757e-05,0.007
"DTE..10","TWFE.ever.adopted",0.976,-0.000306077044547315,5.0593935525525e-05,0.013
"DTE..11","group.time.ATT",0.998,-7.54868624538573e-05,9.12260806375369e-06,0
"DTE..11","group.time.ATT.ever.adopted",0.962,0.000147559177810225,2.89561903663587e-05,0.017
"DTE..11","stacked.regression",0.959,5.02828469092265e-05,8.59725630668514e-06,0.018
"DTE..11","TWFE",0.972,-0.000133724025059137,4.10792819646532e-05,0.013
"DTE..11","TWFE.ever.adopted",0.972,8.26453170908086e-05,8.34241917917118e-05,0.011
"DTE..12","group.time.ATT",0.996,0.000208379546447395,9.46092744896564e-06,0.001
"DTE..12","group.time.ATT.ever.adopted",0.959,0.000245115201159824,2.85871911717959e-05,0.016
"DTE..12","stacked.regression",0.952,0.000125769709363083,8.75201997614241e-06,0.019
"DTE..12","TWFE",0.977,-8.27840238998108e-05,4.1502865533655e-05,0.012
"DTE..12","TWFE.ever.adopted",0.973,-0.000166323643550292,5.14163351106743e-05,0.011
"DTE..13","group.time.ATT",0.996,-6.14224147102125e-05,9.44045315436218e-06,0.001
"DTE..13","group.time.ATT.ever.adopted",0.957,-0.000230513648413468,3.1691000819019e-05,0.02
"DTE..13","stacked.regression",0.95,-8.26098370843117e-05,8.74588553668077e-06,0.025
"DTE..13","TWFE",0.975,-0.000307478405821908,4.10920378191817e-05,0.012
"DTE..13","TWFE.ever.adopted",0.969,-0.00026606083988934,8.72862931567067e-05,0.014
"DTE..14","group.time.ATT",0.997,4.33148236766076e-05,9.49243503398357e-06,0.002
"DTE..14","group.time.ATT.ever.adopted",0.963,-0.000212670235157312,2.82561092442834e-05,0.019
"DTE..14","stacked.regression",0.959,-2.11874223740998e-05,8.46293750992928e-06,0.022
"DTE..14","TWFE",0.98,-0.000226879066332045,4.03090024296541e-05,0.006
"DTE..14","TWFE.ever.adopted",0.976,-0.000248451462988219,5.14354469908809e-05,0.012
"DTE..15","group.time.ATT",1,2.51029611857931e-05,8.7601802214816e-06,0
"DTE..15","group.time.ATT.ever.adopted",0.962,3.48030702052489e-05,2.77884754431046e-05,0.018
"DTE..15","stacked.regression",0.958,-6.45022460507069e-05,8.92789960395024e-06,0.024
"DTE..15","TWFE",0.986,-0.000235904991650379,3.8905941837162e-05,0.007
"DTE..15","TWFE.ever.adopted",0.971,5.36226625839226e-05,8.30043381339324e-05,0.012
"DTE..16","group.time.ATT",0.996,-1.3056289171703e-05,8.96797919103136e-06,0.002
"DTE..16","group.time.ATT.ever.adopted",0.958,0.000164369373182169,2.72706711274059e-05,0.018
"DTE..16","stacked.regression",0.966,-8.96052072365001e-05,7.6109285973499e-06,0.019
"DTE..16","TWFE",0.98,-0.000271835086748853,4.00947576696382e-05,0.012
"DTE..16","TWFE.ever.adopted",0.972,-0.00031703278450406,5.18883268190486e-05,0.018
"DTE..17","group.time.ATT",0.997,4.48409051820919e-06,9.22892749127953e-06,0.001
"DTE..17","group.time.ATT.ever.adopted",0.956,0.000204698932097467,2.98578021048221e-05,0.016
"DTE..17","stacked.regression",0.947,-7.65489180647969e-05,9.27212573800729e-06,0.029
"DTE..17","TWFE",0.973,-0.000277535012418462,4.05006978767815e-05,0.013
"DTE..17","TWFE.ever.adopted",0.975,-8.20394242984413e-05,8.71483202263437e-05,0.012
"DTE..18","group.time.ATT",0.998,2.6955613195106e-05,8.87394161009755e-06,0.001
"DTE..18","group.time.ATT.ever.adopted",0.96,2.54070211861553e-05,2.82301673679534e-05,0.019
"DTE..18","stacked.regression",0.947,-8.10330085830058e-05,8.81425464435668e-06,0.033
"DTE..18","TWFE",0.976,-0.00028975438647842,3.97932600717301e-05,0.014
"DTE..18","TWFE.ever.adopted",0.983,-0.000382496636145863,4.76104217652522e-05,0.01
"DTE..19","group.time.ATT",0.998,-9.19862028165386e-05,9.71263838258177e-06,0
"DTE..19","group.time.ATT.ever.adopted",0.965,-0.000526688512667078,2.76054430272309e-05,0.017
"DTE..19","stacked.regression",0.96,-0.000107988621778112,8.68270549560296e-06,0.023
"DTE..19","TWFE",0.986,-0.000325545231727591,3.96798746961003e-05,0.008
"DTE..19","TWFE.ever.adopted",0.974,-0.000208943428680368,8.71724256759963e-05,0.017
"DTE..2","group.time.ATT",0.997,-8.0816527996143e-05,9.32131954166948e-06,0
"DTE..2","group.time.ATT.ever.adopted",0.966,-0.000302667958522087,2.82290956245587e-05,0.018
"DTE..2","stacked.regression",0.952,-7.80566329945766e-05,8.6881868185725e-06,0.029
"DTE..2","TWFE",0.974,-0.000281937638179953,4.04132479061598e-05,0.014
"DTE..2","TWFE.ever.adopted",0.983,-0.00026251760593728,5.19199978894125e-05,0.011
"DTE..20","group.time.ATT",0.996,-0.000113231578060599,9.15911842956236e-06,0.003
"DTE..20","group.time.ATT.ever.adopted",0.958,0.000108248599139959,2.94178172028783e-05,0.022
"DTE..20","stacked.regression",0.959,-1.60024189615735e-05,8.10754738234795e-06,0.022
"DTE..20","TWFE",0.979,-0.00018060780851841,3.92625612501218e-05,0.012
"DTE..20","TWFE.ever.adopted",0.979,-2.3296193499221e-06,5.19884262937463e-05,0.009
"DTE..21","group.time.ATT",0.997,2.93436139258682e-05,9.36572480955172e-06,0.001
"DTE..21","group.time.ATT.ever.adopted",0.951,-0.000125706126144805,3.22623530763071e-05,0.03
"DTE..21","stacked.regression",0.953,9.72291590990254e-05,8.43380327618052e-06,0.025
"DTE..21","TWFE",0.976,-0.000117026910352285,4.06857576409509e-05,0.013
"DTE..21","TWFE.ever.adopted",0.956,8.87608922924574e-06,9.39315252915332e-05,0.023
"DTE..22","group.time.ATT",0.998,5.2355135609082e-05,9.4420713008185e-06,0.001
"DTE..22","group.time.ATT.ever.adopted",0.955,0.000207562028819028,2.9049577382563e-05,0.022
"DTE..22","stacked.regression",0.957,6.78855451731575e-05,8.59224524493862e-06,0.02
"DTE..22","TWFE",0.977,-0.000113225347776838,3.91062774681891e-05,0.013
"DTE..22","TWFE.ever.adopted",0.974,-0.000107189992200103,5.12861299035992e-05,0.014
"DTE..23","group.time.ATT",0.997,-1.03953637471696e-05,8.63239358874874e-06,0.002
"DTE..23","group.time.ATT.ever.adopted",0.959,0.000231511245329402,2.92970830429149e-05,0.022
"DTE..23","stacked.regression",0.955,1.5530409564075e-05,8.77571760725268e-06,0.026
"DTE..23","TWFE",0.977,-0.000166058454179744,4.1269672407024e-05,0.015
"DTE..23","TWFE.ever.adopted",0.975,6.25400984976667e-05,9.04432167889181e-05,0.01
"DTE..24","group.time.ATT",0.997,8.39655142919667e-05,9.3936202036767e-06,0.002
"DTE..24","group.time.ATT.ever.adopted",0.951,-0.00025146030956185,2.90408652727664e-05,0.024
