"parameter","method","coverage","bias","MSE","power"
"CTE","group.time.ATT",0.925,-6.46162172268549e-05,4.75140826046397e-06,1
"CTE","group.time.ATT.ever.adopted",0.716,0.000143393992510915,2.14285606942322e-05,0.993
"CTE","staggered.SA",0.937,-7.75830900796601e-05,5.39245786338361e-06,1
"CTE","TWFE",0.956,-1.59096726593518e-05,2.54301574154442e-07,1
"CTE","TWFE.ever.adopted",0.578,5.70322272511657e-05,1.48350591233807e-06,1
"DTE..1","group.time.ATT",0.998,-1.19599119111785e-05,7.82992468052581e-06,0.001
"DTE..1","group.time.ATT.ever.adopted",0.966,-7.49433932415509e-05,2.97934110594863e-05,0.019
"DTE..1","stacked.regression",1,0,0,0
"DTE..1","TWFE",0.96,0.000111529243460491,6.69425539266293e-05,0.018
"DTE..1","TWFE.ever.adopted",0.96,0.000111529243460491,6.69425539266293e-05,0.018
"DTE..10","group.time.ATT",0.998,0.000200657059199214,8.3630244930782e-06,0.001
"DTE..10","group.time.ATT.ever.adopted",0.962,5.61456105218368e-05,3.12327641815904e-05,0.02
"DTE..10","stacked.regression",0.951,6.49013675815415e-05,8.29109451447898e-06,0.028
"DTE..10","TWFE",0.962,0.000116540288853681,5.85677770004563e-05,0.022
"DTE..10","TWFE.ever.adopted",0.962,0.000116540288853681,5.85677770004563e-05,0.022
"DTE..11","group.time.ATT",0.997,-0.000112840579430058,7.5273183891672e-06,0.003
"DTE..11","group.time.ATT.ever.adopted",0.964,-6.22620688498012e-05,2.96811767662252e-05,0.017
"DTE..11","stacked.regression",0.946,-0.000135755691617673,8.33359531583147e-06,0.029
"DTE..11","TWFE",0.961,5.43985035230354e-05,7.03679824886983e-05,0.02
"DTE..11","TWFE.ever.adopted",0.961,5.43985035230354e-05,7.03679824886983e-05,0.02
"DTE..12","group.time.ATT",0.998,-3.88281315443474e-05,7.36390648335418e-06,0.001
"DTE..12","group.time.ATT.ever.adopted",0.969,0.000104424732804267,3.06746875446329e-05,0.018
"DTE..12","stacked.regression",0.936,-2.29151121876143e-05,8.25495686933158e-06,0.033
"DTE..12","TWFE",0.966,-5.97069593317543e-05,5.68656698585947e-05,0.022
"DTE..12","TWFE.ever.adopted",0.966,-5.97069593317543e-05,5.68656698585947e-05,0.022
"DTE..13","group.time.ATT",0.998,0.000147089207162955,7.46293669180001e-06,0.001
"DTE..13","group.time.ATT.ever.adopted",0.959,7.06826316892329e-05,3.10707744412148e-05,0.019
"DTE..13","stacked.regression",0.947,1.59130193567331e-05,7.80443137204431e-06,0.024
