"parameter","method","coverage","bias","MSE","power"
"CTE","group.time.ATT",0.934,-3.64093179087795e-05,3.10786295477299e-06,1
"CTE","group.time.ATT.ever.adopted",0.937,-2.31260535392485e-05,5.75702754397598e-06,1
"CTE","staggered.SA",0.934,-3.64093179087659e-05,3.107862954773e-06,1
"CTE","target.trial",0.938,-3.64093179087792e-05,3.10786295477299e-06,1
"CTE","TWFE",0.946,-9.57248818681911e-06,1.37857394378234e-07,1
"CTE","TWFE.ever.adopted",0.71,-1.84100925241402e-05,4.8952326628726e-07,1
"DTE..1","group.time.ATT",0.997,-3.37901150275137e-05,6.00000538573816e-06,0.002
"DTE..1","group.time.ATT.ever.adopted",0.999,2.20438069442651e-05,9.24988732876423e-06,0.001
"DTE..1","stacked.regression",1,0,0,0
"DTE..1","TWFE",0.94,9.35313879980193e-05,1.08559598167304e-05,0.032
"DTE..1","TWFE.ever.adopted",0.948,0.000335729517157675,4.15043294728052e-05,0.024
"DTE..10","group.time.ATT",1,-6.26781631139157e-05,5.10916931030629e-06,0
"DTE..10","group.time.ATT.ever.adopted",0.992,-0.000144629446114452,8.01170753046784e-06,0.004
"DTE..10","stacked.regression",0.935,-8.76772416780101e-05,6.12091243521896e-06,0.034
"DTE..10","TWFE",0.957,4.81065107641574e-06,9.86708493702795e-06,0.02
"DTE..10","TWFE.ever.adopted",0.957,0.000106008164468988,4.3296573219038e-05,0.02
"DTE..11","group.time.ATT",1,-6.6227327236587e-05,5.63035991598037e-06,0
"DTE..11","group.time.ATT.ever.adopted",0.992,1.31933850064013e-05,8.20958162195525e-06,0.004
"DTE..11","stacked.regression",0.959,-2.49990785640946e-05,5.72831013279834e-06,0.024
"DTE..11","TWFE",0.944,5.94869131633679e-05,9.81930976503441e-06,0.025
"DTE..11","TWFE.ever.adopted",0.953,1.14366694828045e-05,4.53505786092042e-05,0.028
"DTE..12","group.time.ATT",0.998,0.00016217387329362,6.23581323578511e-06,0
"DTE..12","group.time.ATT.ever.adopted",0.993,7.88849096759212e-05,8.68798226906973e-06,0.003
"DTE..12","stacked.regression",0.946,4.12282486724927e-05,6.11410935515474e-06,0.025
"DTE..12","TWFE",0.953,0.000119203430276853,9.60324055514697e-06,0.023
"DTE..12","TWFE.ever.adopted",0.952,0.000108458104034688,1.38593474538644e-05,0.021
"DTE..13","group.time.ATT",0.996,-0.00014188063959422,6.36534952798173e-06,0.002
"DTE..13","group.time.ATT.ever.adopted",0.987,-0.000151226417120659,9.43351179942903e-06,0.007
"DTE..13","stacked.regression",0.934,-0.000120945624621127,6.68989851550294e-06,0.034
"DTE..13","TWFE",0.953,-6.28842971497511e-05,9.88794435933811e-06,0.024
"DTE..13","TWFE.ever.adopted",0.945,-0.000329358025983261,5.16202931408733e-05,0.032
"DTE..14","group.time.ATT",0.999,0.000105859772773882,6.03641518570514e-06,0.001
"DTE..14","group.time.ATT.ever.adopted",0.994,0.0002076344307093,8.43469992020077e-06,0.003
